code,profession
11,"Agriculture"
13,"Environment and Natural Resources"
14,"Architecture"
15,"Area, Ethnic, and Civilization Studies"
19,"Communications"
20,"Communication Technologies"
21,"Computer and Information Sciences"
22,"Cosmetology Services and Culinary Arts"
23,"Education Administration and Teaching"
24,"Engineering"
25,"Engineering Technologies"
26,"Linguistics and Foreign Languages"
29,"Family and Consumer Sciences"
32,"Law"
33,"English Language, Literature, and Composition"
34,"Liberal Arts and Humanities"
35,"Library Science"
36,"Biology and Life Sciences"
37,"Mathematics and Statistics"
38,"Military Technologies"
40,"Interdisciplinary and Multi-Disciplinary Studies (General)"
41,"Physical Fitness, Parks, Recreation, and Leisure"
48,"Philosophy and Religious Studies"
49,"Theology and Religious Vocations"
50,"Physical Sciences"
51,"Nuclear, Industrial Radiology, and Biological Technologies"
52,"Psychology"
53,"Criminal Justice and Fire Protection"
54,"Public Affairs, Policy, and Social Work"
55,"Social Sciences"
56,"Construction Services"
57,"Electrical and Mechanic Repairs and Technologies"
58,"Precision Production and Industrial Arts"
59,"Transportation Sciences and Technologies"
60,"Fine Arts"
61,"Medical and Health Sciences and Services"
62,"Business"
64,"History"
