"","degree","degree_spouse","count","weighted","percent","odds"
"1","Accounting","Accounting",8270,784566,13.7389974685247,3.68117464378131
"2","Accounting","Agriculture",557,43295,0.758164253102703,0.686156479706112
"3","Accounting","Architecture",338,30671,0.537097951424253,0.688497749602162
"4","Accounting","Art History",105,10359,0.181402552209052,0.732173726966031
"5","Accounting","Biology",2028,187417,3.28196950742001,0.610999777957215
"6","Accounting","Business",7185,697662,12.21717032332,1.07107832139391
"7","Accounting","Chemistry",620,57589,1.00847490869457,0.669109992447284
"8","Accounting","Communications",1326,122973,2.15345265496706,0.800022184128815
"9","Accounting","Computer Science",1864,181436,3.17723269259596,1.08501552925678
"10","Accounting","Construction",105,10070,0.176341702939005,1.12995322212754
"12","Accounting","Criminal Justice",680,68266,1.19544614625959,0.990796000747639
"13","Accounting","Economics",1440,130323,2.28216283536444,0.97107175135953
"14","Accounting","Education",8419,751785,13.1649500639523,0.945784434295449
"15","Accounting","Engineering",5833,555511,9.72788041125617,1.00459888359975
"16","Accounting","English",1460,131672,2.30578596915439,0.672715859381283
"17","Accounting","Environmental Science",415,37213,0.651658767772512,0.602648571600643
"18","Accounting","Ethnic and Cultural Studies",167,14130,0.247438754968038,0.573839581599478
"19","Accounting","Family Studies",581,50436,0.88321451136362,0.970655386412155
"20","Accounting","Finance",1893,176654,3.09349227318639,1.64556253034664
"21","Accounting","Fine Arts",1003,96245,1.68540289963898,0.744876559814643
"22","Accounting","Foreign Languages",410,35169,0.615865079509619,0.643822682544848
"23","Accounting","General Science",376,40695,0.712634121261451,0.707275913858925
"24","Accounting","History",967,87123,1.52566218323286,0.628918199390121
"26","Accounting","Interdisciplinary",33,3307,0.0579108253842393,0.835154727416734
"27","Accounting","Journalism",496,46494,0.814183826856614,0.9096901810127
"28","Accounting","Law",71,7658,0.134103749861658,1.08171148146456
"29","Accounting","Liberal Arts",618,60386,1.05745482360226,0.7722126081077
"30","Accounting","Library Science",51,4883,0.0855090899157062,1.11961881037462
"31","Accounting","Linguistics",89,8080,0.141493640491277,0.672283923041634
"32","Accounting","Marketing",1930,179952,3.15124549426811,1.52381274814101
"33","Accounting","Math and Stats",978,89085,1.56001992118384,0.891394329264668
"35","Accounting","Medical Sciences",1895,176300,3.08729317062032,0.911577712852988
"37","Accounting","Music",247,23971,0.419770303987179,0.537565954344515
"38","Accounting","Nursing",2313,218101,3.81929510950347,1.10678160453072
"39","Accounting","Performing Arts",107,10422,0.182505782326744,0.450677234695999
"40","Accounting","Philosophy and Religious Studies",397,37403,0.654985969714757,0.476187374236263
